City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
266,Meulaboh,ID,76.71,overcast clouds,4.1363,96.1285,Kost Pria
270,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
271,Fortuna,US,80.19,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
275,Vung Tau,VN,81.59,broken clouds,10.345999999999998,107.0843,Green hotel
276,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
287,Santa Rosa,PH,85.98,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
288,Carutapera,BR,76.19,scattered clouds,-1.195,-46.02,Lidera
291,Tezu,IN,75.38,overcast clouds,27.9167,96.1667,Circuit House
292,Khuzdar,PK,80.06,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
293,Tabou,CI,80.67,light rain,4.423,-7.3528,hotêl doufoulougou
296,Manadhoo,MV,82.99,broken clouds,5.7667,73.3833,Vevu Guesthouse
297,Hindupur,IN,77.54,scattered clouds,13.8289,77.4933,Hotel Sri Baghavan Satya Sai Darshan
298,Pachperwa,IN,79.61,clear sky,27.5167,82.65,Manglam mairrage haal
303,Namatanai,PG,81.09,light rain,-3.6667,152.4333,Namatanai Hotel
307,Ascension,US,82.98,clear sky,30.2169,-90.9001,Highland Inn
313,Mount Pleasant,US,84.42,broken clouds,32.7941,-79.8626,Best Western Patriots Point
315,El Campo,US,89.02,scattered clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
317,Sao Geraldo Do Araguaia,BR,79.27,broken clouds,-6.4006,-48.555,SOLAR DO BARROSO
318,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
320,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
322,Kavaratti,IN,83.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
327,Tungi,BD,84.2,few clouds,23.89,90.4058,Grand Dhaka Hotel
335,Marica,BR,80.85,broken clouds,-22.9194,-42.8186,Marica Hills
339,Hoi An,VN,82.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
342,Axim,GH,80.13,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
349,Carauari,BR,79.45,overcast clouds,-4.8828,-66.8958,Hotel Fellip
352,Pacific Grove,US,79.07,overcast clouds,36.6177,-121.9166,Lovers Point Inn
356,Nagtipunan,PH,76.68,scattered clouds,16.2167,121.6,D' Fields Travellers Place
359,Caldwell,US,78.6,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
