,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Kambove,CD,-10.8764,26.5969,75.94,23,0,4.61,clear sky
242,Praia,CV,14.9215,-23.5087,79.34,57,40,24.16,scattered clouds
243,Calama,CL,-22.4667,-68.9333,48.69,57,0,20.71,clear sky
244,Yuancheng,CN,36.652,107.7896,74.34,21,0,4.03,clear sky
245,Del Rio,US,29.3627,-100.8968,69.91,85,1,4.61,clear sky
246,Ahipara,NZ,-35.1667,173.1667,53.19,84,65,10.6,broken clouds
247,Pacific Grove,US,36.6177,-121.9166,54.25,89,90,1.01,overcast clouds
248,Kaitangata,NZ,-46.2817,169.8464,49.84,93,100,10.16,moderate rain
249,Tecate,MX,32.5667,-116.6333,56.66,93,28,2.28,scattered clouds
250,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,7.11,clear sky
251,Dimovo,BG,43.7417,22.7269,73.62,49,36,13.42,scattered clouds
252,Cockburn Town,TC,21.4612,-71.1419,79.05,76,10,13.44,clear sky
253,Sola,VU,-13.8833,167.55,78.21,67,90,14.52,overcast clouds
254,Wanning,CN,18.8003,110.3967,82.71,85,52,10.51,broken clouds
255,Huron,US,41.1501,-82.5499,49.69,86,100,18.16,overcast clouds
256,Beringovskiy,RU,63.05,179.3167,27.03,90,34,8.7,scattered clouds
257,Tawang,IN,27.5833,91.8667,56.23,95,99,2.46,overcast clouds
258,Parrita,CR,9.5201,-84.3225,85.51,71,67,0.98,broken clouds
259,Bhatapara,IN,21.7333,81.9333,101.37,19,71,4.7,broken clouds
260,Lahaina,US,20.8783,-156.6825,71.35,72,12,5.73,few clouds
261,Homer,US,59.6425,-151.5483,46.29,88,90,0.0,overcast clouds
262,Nanortalik,GL,60.1432,-45.2371,37.81,82,74,6.71,broken clouds
263,Grindavik,IS,63.8424,-22.4338,50.47,71,75,23.73,broken clouds
264,Sawtell,AU,-30.3833,153.1,57.22,67,90,13.8,overcast clouds
265,Mattru,SL,7.6244,-11.8332,88.97,62,81,2.46,light rain
266,Asfi,MA,32.2994,-9.2372,71.6,68,82,16.2,broken clouds
267,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.64,48,40,2.55,scattered clouds
268,Trairi,BR,-3.2778,-39.2689,85.91,59,32,12.17,scattered clouds
269,Port Shepstone,ZA,-30.7414,30.455,69.28,58,58,8.52,broken clouds
270,Bandarban,BD,22.1965,92.2262,87.51,83,98,2.66,overcast clouds
271,Alugan,PH,12.2188,125.4808,82.15,78,28,1.81,scattered clouds
